id,code,user_type,active,name,level,parent_id/id,currency_mode,type,company_id/id
1,0,28,TRUE,DESP.INV E DESENV.,0,,current,view,1
2,1,17,TRUE,DISPONIBILIDADES,0,,current,view,1
3,2,17,TRUE,TERCEIROS,0,,current,view,1
4,3,24,TRUE,EXISTÊNCIAS,0,,current,view,1
5,4,24,TRUE,IMOBILIZAÇÕES,0,,current,view,1
6,5,17,TRUE,FUNDO PATRIMONIAL,0,,current,view,1
7,6,17,TRUE,CUSTOS E PERDAS,0,,current,view,1
8,7,17,TRUE,PROVEITOS E GANHOS,0,,current,view,1
9,8,17,TRUE,RESULTADOS,0,,current,view,1
10,9,17,TRUE,ANALITICA,0,,current,view,1
11,01,28,TRUE,ORÇAMENTO - EXERCÍCIO CORRENTE,1,1,current,view,1
12,02,21,TRUE,DESPESA,1,1,current,view,1
13,03,20,TRUE,RECEITAS,1,1,current,view,1
14,04,28,TRUE,ORÇAMENTOS - EXERCÍCIOS FUTURO,1,1,current,view,1
15,05,21,TRUE,COMPROMISSOS - EXER.FUTUROS,1,1,current,view,1
16,06,28,TRUE,Contrapartidas fecho,1,1,current,view,1
17,09,29,TRUE,CONTAS DE ORDEM,1,1,current,view,1
18,11,5,TRUE,CAIXA,1,2,current,view,1
19,12,4,TRUE,DEPÓSITOS INSTIT. FINANCEIRAS,1,2,current,view,1
20,13,4,TRUE,CONTA NO TESOURO,1,2,current,view,1
21,14,4,TRUE,...,1,2,current,view,1
22,15,6,TRUE,TÍTULOS NEGOCIÁVEIS,1,2,current,view,1
23,18,6,TRUE,OUTRAS APLICAÇÕES TESOURARIA,1,2,current,view,1
24,19,25,TRUE,PROVISÕES APLICAÇ. TESOURARIA,1,2,current,view,1
25,21,18,TRUE,"CLIENTES, CONTRIBUINTES E UTEN",1,3,current,view,1
26,22,19,TRUE,FORNECEDORES,1,3,current,view,1
27,23,19,TRUE,EMPRÉSTIMOS OBTIDOS,1,3,current,view,1
28,24,22,TRUE,ESTADO E OUTROS ENTES PÚBLICOS,1,3,current,view,1
29,25,25,TRUE,DEVEDORES E CREDORES PELA EXEC,1,3,current,view,1
30,26,25,TRUE,OUTROS DEVEDORES E CREDORES,1,3,current,view,1
31,27,25,TRUE,ACRÉSCIMOS E DIFERIMENTOS,1,3,current,view,1
