id,tipo_dim,code,name,type,parent_id/id,state,currency_id/id,company_id/id,estado
1,uo,01,Assembleia Municipal,normal,,open,1,1,uo
2,uo,02,Câmara Municipal,normal,,open,1,1,uo
3,ce,01,Despesas com o pessoal,view,,open,1,1,ce
4,ce,0101,Remunerações certas e permanentes,view,1,open,1,1,ce
5,ce,010101,Membros dos órgãos autárquicos,normal,4,open,1,1,ce
6,ce,010103,PESSOAL DOS QUADROS - REGIME DE FUNÇÃO PÚBLICA,view,4,open,1,1,ce
7,ce,01010301,PESSOAL EM FUNÇÕES,normal,6,open,1,1,ce
8,ce,01010302,ALTERAÇÕES OBRIGATÓRIAS DE POSICIONAMENTO REMUNERA,normal,6,open,1,1,ce
9,ce,01010303,ALTERAÇÕES FACULTATIVAS DE POSICIONAMENTO REMUNERA,view,6,open,1,1,ce
10,ce,01010304,RECRUTAMENTO DE PESSOAL PARA NOVOS POSTOS DE TRABA,normal,6,open,1,1,ce
11,ce,010104,Pessoal quadro-Regime contrato individual trabalho,view,4,open,1,1,ce
12,ce,01010401,Pessoal em funções,normal,11,open,1,1,ce
13,ce,01010402,ALTERAÇÕES OBRIGATÓRIAS DE POSICIONAMENTO REMUNERA,normal,11,open,1,1,ce
14,ce,01010403,ALTERAÇÕES FACULTATIVAS DE POSICIONAMENTO REMUNERA,normal,11,open,1,1,ce
15,ce,01010404,Recrutamento pessoal para novos postos trabalho,normal,11,open,1,1,ce
16,ce,010105,PESSOAL ALÉM DOS QUADROS,normal,4,open,1,1,ce
17,ce,010106,Pessoal contratado a termo,view,4,open,1,1,ce
18,ce,01010601,Pessoal em funções,normal,17,open,1,1,ce
19,ce,01010602,ALTERAÇÕES OBRIGATÓRIAS DE POSICIONAMENTO REMUNERA,normal,17,open,1,1,ce
20,ce,01010603,ALTERAÇÕES FACULTATIVAS DE POSICIONAMENTO REMUNERA,normal,17,open,1,1,ce
21,ce,01010604,RECRUTAMENTO DE PESSOAL PARA NOVOS POSTOS DE TRABA,normal,17,open,1,1,ce
22,ce,010107,Pessoal em regime de tarefa ou avença,normal,4,open,1,1,ce
23,ce,010108,Pessoal aguardando aposentação,normal,4,open,1,1,ce
24,ce,010109,Pessoal em qualquer outra situação,normal,4,open,1,1,ce
25,ce,010111,Representação,normal,4,open,1,1,ce
26,ce,010113,Subsídio de refeição,view,4,open,1,1,ce
27,ce,01011301,Pessoal dos quadros,view,26,open,1,1,ce
28,ce,0101130101,Regime de contrato individual de trabalho,normal,27,open,1,1,ce
29,ce,01011302,Subs. Ref. Pessoal em qualquer outra situação,normal,26,open,1,1,ce
30,ce,01011303,Subs. Refeição - Pessoal contratado a termo,normal,26,open,1,1,ce
31,ce,01011304,Membros dos orgãos autárquicos,normal,26,open,1,1,ce
32,ce,010114,Subsídios de férias e de Natal,view,4,open,1,1,ce
33,ce,01011401,Pessoal dos quadros,view,32,open,1,1,ce
34,ce,0101140101,Regime de contrato individual de trabalho,normal,33,open,1,1,ce
35,ce,01011402,Pessoal em qualquer outra situação,normal,32,open,1,1,ce
36,ce,01011403,Pessoal contratado a termo,normal,32,open,1,1,ce
37,ce,010115,Remunerações por doença e maternidade/paternidade,normal,4,open,1,1,ce
38,ce,0102,Abonos variáveis e eventuais,view,1,open,1,1,ce
39,ce,010201,GRATIFICAÇÕES VARIÁVEIS OU EVENTUAIS,normal,38,open,1,1,ce
40,ce,010202,Horas extraordinárias,normal,38,open,1,1,ce
41,ce,010203,Alimentação e alojamento,normal,38,open,1,1,ce
42,ce,010204,Ajudas de custo,normal,38,open,1,1,ce
43,ce,010205,Abono para falhas,normal,38,open,1,1,ce
44,ce,010206,Formação,normal,38,open,1,1,ce
45,ce,010207,COLABORAÇÃO TÉCNICA E ESPECIALIZADA,normal,38,open,1,1,ce
46,ce,010208,"SUBSÍDIOS E ABONOS DE FIXAÇÃO, RESIDÊNCIA E ALOJAM",normal,38,open,1,1,ce
47,ce,010209,SUBSÍDIO DE PREVENÇÃO,normal,38,open,1,1,ce
48,ce,010210,Subsídio de trabalho nocturno,normal,38,open,1,1,ce
49,ce,010211,Subsídio de turno,normal,38,open,1,1,ce
50,ce,010212,Indemnizações por cessação de funções,normal,38,open,1,1,ce
51,ce,010213,Outros suplementos e prémios,normal,38,open,1,1,ce
52,ce,01021302,Outros suplementos e prémios,normal,38,open,1,1,ce
